,Station,Layer4
2024-05-24 15:30:00,111,47.9
2024-05-24 16:00:00,111,47.8
2024-05-24 16:30:00,111,47.8
2024-05-24 17:00:00,111,47.8
2024-05-24 17:30:00,111,
2024-05-24 18:00:00,111,47.9
2024-05-24 18:30:00,111,47.9
2024-05-24 19:00:00,111,47.9
2024-05-24 19:30:00,111,47.9
2024-05-24 20:00:00,111,47.9
2024-05-24 20:30:00,111,
2024-05-24 21:00:00,111,
2024-05-24 21:30:00,111,48.0
2024-05-24 22:00:00,111,
2024-05-24 22:30:00,111,
2024-05-24 23:00:00,111,
2024-05-24 23:30:00,111,48.2
2024-05-25 00:00:00,111,48.4
2024-05-25 00:30:00,111,48.8
2024-05-25 01:00:00,111,49.2
2024-05-25 01:30:00,111,49.7
2024-05-25 02:00:00,111,50.0
2024-05-25 02:30:00,111,50.2
2024-05-25 03:00:00,111,50.4
2024-05-25 03:30:00,111,50.5
2024-05-25 04:00:00,111,50.7
2024-05-25 04:30:00,111,
2024-05-25 05:00:00,111,51.0
2024-05-25 05:30:00,111,51.1
2024-05-25 06:00:00,111,51.1
2024-05-25 06:30:00,111,51.2
2024-05-25 07:00:00,111,51.3
2024-05-25 07:30:00,111,
2024-05-25 08:00:00,111,
2024-05-25 08:30:00,111,51.4
2024-05-25 09:00:00,111,51.4
2024-05-25 09:30:00,111,51.4
2024-05-25 10:00:00,111,51.4
2024-05-25 10:30:00,111,51.4
2024-05-25 11:00:00,111,51.4
2024-05-25 11:30:00,111,51.4
2024-05-25 12:00:00,111,51.4
2024-05-25 12:30:00,111,51.4
2024-05-25 13:00:00,111,51.4
2024-05-25 13:30:00,111,51.4
2024-05-25 14:00:00,111,51.4
2024-05-25 14:30:00,111,51.4
2024-05-25 15:00:00,111,51.4
2024-05-25 15:30:00,111,51.4
2024-05-25 16:00:00,111,
2024-05-25 16:30:00,111,51.4
2024-05-25 17:00:00,111,51.4
2024-05-25 17:30:00,111,51.3
2024-05-25 18:00:00,111,
2024-05-25 18:30:00,111,51.3
2024-05-25 19:00:00,111,51.3
2024-05-25 19:30:00,111,51.3
2024-05-25 20:00:00,111,51.3
2024-05-25 20:30:00,111,51.3
2024-05-25 21:00:00,111,51.3
2024-05-25 21:30:00,111,51.3
2024-05-25 22:00:00,111,51.3
2024-05-25 22:30:00,111,
2024-05-25 23:00:00,111,51.3
2024-05-25 23:30:00,111,51.3
2024-05-26 00:00:00,111,51.3
2024-05-26 00:30:00,111,51.2
2024-05-26 01:00:00,111,
2024-05-26 01:30:00,111,
2024-05-26 02:00:00,111,
2024-05-26 02:30:00,111,
2024-05-26 03:00:00,111,
2024-05-26 03:30:00,111,
2024-05-26 04:00:00,111,
2024-05-26 04:30:00,111,
2024-05-26 05:00:00,111,
2024-05-26 05:30:00,111,
2024-05-26 06:00:00,111,
2024-05-26 06:30:00,111,
2024-05-26 07:00:00,111,
2024-05-26 07:30:00,111,
2024-05-26 08:00:00,111,
2024-05-26 08:30:00,111,
2024-05-26 09:00:00,111,
2024-05-26 09:30:00,111,
2024-05-26 10:00:00,111,
2024-05-26 10:30:00,111,
2024-05-26 11:00:00,111,
2024-05-26 11:30:00,111,
2024-05-26 12:00:00,111,
2024-05-26 12:30:00,111,
2024-05-26 13:00:00,111,
2024-05-26 13:30:00,111,
2024-05-26 14:00:00,111,51.1
2024-05-26 14:30:00,111,51.1
2024-05-26 15:00:00,111,51.1
2024-05-26 15:30:00,111,51.1
2024-05-26 16:00:00,111,
2024-05-26 16:30:00,111,
2024-05-26 17:00:00,111,
2024-05-26 17:30:00,111,
2024-05-26 18:00:00,111,
2024-05-26 18:30:00,111,
2024-05-26 19:00:00,111,51.5
2024-05-26 19:30:00,111,51.5
2024-05-26 20:00:00,111,51.5
2024-05-26 20:30:00,111,51.5
2024-05-26 21:00:00,111,51.5
2024-05-26 21:30:00,111,51.4
2024-05-26 22:00:00,111,51.4
2024-05-26 22:30:00,111,
2024-05-26 23:00:00,111,51.4
2024-05-26 23:30:00,111,
2024-05-27 00:00:00,111,
2024-05-27 00:30:00,111,51.4
2024-05-27 01:00:00,111,51.4
2024-05-27 01:30:00,111,51.4
2024-05-27 02:00:00,111,51.4
2024-05-27 02:30:00,111,51.3
2024-05-27 03:00:00,111,51.3
2024-05-27 03:30:00,111,51.3
2024-05-27 04:00:00,111,51.3
2024-05-27 04:30:00,111,
2024-05-27 05:00:00,111,51.4
2024-05-27 05:30:00,111,51.4
2024-05-27 06:00:00,111,51.4
2024-05-27 06:30:00,111,51.4
2024-05-27 07:00:00,111,51.4
2024-05-27 07:30:00,111,51.4
2024-05-27 08:00:00,111,
2024-05-27 08:30:00,111,
2024-05-27 09:00:00,111,
2024-05-27 09:30:00,111,
2024-05-27 10:00:00,111,
2024-05-27 10:30:00,111,
2024-05-27 11:00:00,111,
2024-05-27 11:30:00,111,
2024-05-27 12:00:00,111,
2024-05-27 12:30:00,111,
2024-05-27 13:00:00,111,
2024-05-27 13:30:00,111,
2024-05-27 14:00:00,111,
2024-05-27 14:30:00,111,
2024-05-27 15:00:00,111,
2024-05-27 15:30:00,111,
2024-05-27 16:00:00,111,
2024-05-27 16:30:00,111,
2024-05-27 17:00:00,111,
2024-05-27 17:30:00,111,
